concept,bet_old,bet_new,bet_change,deg_old,deg_new,old_provisions,new_provisions,status
industrial dispute,0.1248,0.011,-0.1138,0.2068,0.054,18,17,lost
contract labour,0.1223,0.0214,-0.1009,0.1914,0.1025,25,21,lost
strike,0.0755,0.011,-0.0645,0.1512,0.0651,20,11,lost
retrenchment,0.0678,0.0155,-0.0523,0.0957,0.0443,12,14,lost
employment,0.0693,0.0171,-0.0522,0.071,0.0623,5,11,lost
unfair labour practice,0.0538,0.0022,-0.0516,0.1049,0.0332,17,7,lost
industrial establishment,0.0565,0.0056,-0.0509,0.1019,0.0416,9,14,lost
conciliation,0.0487,0.0014,-0.0473,0.1049,0.0374,12,9,lost
employer,0.0877,0.0437,-0.044,0.1265,0.151,8,37,lost
wages,0.1382,0.0999,-0.0383,0.2253,0.2271,48,83,lost
penalty,0.0396,0.0043,-0.0353,0.0926,0.0402,15,10,lost
conditions of service,0.0392,0.0044,-0.0348,0.0988,0.0319,6,5,lost
offence,0.0354,0.0065,-0.0289,0.0926,0.0499,8,12,lost
closure,0.0396,0.0112,-0.0284,0.0802,0.0471,10,9,lost
collective bargaining,0.0346,0.0101,-0.0245,0.1111,0.0665,21,27,lost
appropriate government,0.0339,0.0095,-0.0244,0.0926,0.0319,6,5,lost
inspector,0.0444,0.0224,-0.022,0.108,0.0942,14,25,lost
labour court,0.0289,0.0072,-0.0217,0.0802,0.0208,8,3,lost
payment of wages,0.0534,0.0325,-0.0209,0.1574,0.1163,30,44,lost
workman,0.0165,0.0,-0.0165,0.0617,0.0,3,0,lost
lock-out,0.0165,0.0014,-0.0151,0.0648,0.0305,5,5,lost
lay-off,0.0165,0.0031,-0.0134,0.0556,0.0457,6,11,lost
award,0.0178,0.0047,-0.0131,0.0802,0.0416,9,7,lost
adjudication,0.0151,0.0022,-0.0129,0.0679,0.0194,7,4,lost
contract,0.014,0.0021,-0.0119,0.0525,0.0194,3,2,lost
notice,0.0293,0.0175,-0.0118,0.1019,0.0873,8,18,lost
licence,0.0116,0.0002,-0.0114,0.0617,0.0152,4,1,lost
investigation,0.0116,0.0002,-0.0114,0.071,0.0125,6,3,lost
